experimental_state	replicate_number	time_point	value				
rGrb2	1	0	100				
rGrb2	1	5	6.7170345				
rGrb2	1	20	5.7039369				
rGrb2	1	180	15.2814561				
rGrb2	2	0	100				
rGrb2	2	5	4.995297447				
rGrb2	2	20	8.63104467				
rGrb2	2	180	7.231174242				
rGrb2	3	0	100				
rGrb2	3	5	5.1107468				
rGrb2	3	20	8.73211576				
rGrb2	3	180	5.845751483				
rCrkII	1	0	100				
rCrkII	1	5	60.62992126				
rCrkII	1	20	80.76846934				
rCrkII	1	180	118.1067457				
rCrkII	2	0	100				
rCrkII	2	5	49.06469213				
rCrkII	2	20	44.22447389				
rCrkII	2	180	99.12314887				
rCrkII	3	0	100				
rCrkII	3	5	35.72278345				
rCrkII	3	20	43.5109136				
rCrkII	3	180	63.21007919				
rShc	1	0	53.99670959				
rShc	1	5	100				
rShc	1	20	78.01667896				
rShc	1	180	67.90718784				
rShc	2	0	59.22278176				
rShc	2	5	100				
rShc	2	20	77.55804626				
rShc	2	180	46.77570302				
rShc	3	0	55.96879287				
rShc	3	5	100				
rShc	3	20	77.85561246				
rShc	3	180	57.0023847				
rpShc	1	0	8.206815549				
rpShc	1	5	100				
rpShc	1	20	67.50601155				
rpShc	1	180	21.56947697				
rpShc	2	0	7.374388652				
rpShc	2	5	100				
rpShc	2	20	80.22387631				
rpShc	2	180	15.64365123				
rpShc	3	0	9.100257564				
rpShc	3	5	100				
rpShc	3	20	55.96712695				
rpShc	3	180	27.55469814				
rASAP1	1	0	100				
rASAP1	1	5	15.05031245				
rASAP1	1	20	8.295807994				
rASAP1	1	180	8.770484193				
rASAP1	2	0	100				
rASAP1	2	5	9.329337219				
rASAP1	2	20	9.329337219				
rASAP1	2	180	32.02422558				
rASAP1	3	0	100				
rASAP1	3	5	5.666895544				
rASAP1	3	20	6.500086178				
rASAP1	3	180	11.58323233				
total_rEGFR	1	0	62.90693767				
total_rEGFR	1	5	74.29157628				
total_rEGFR	1	20	100				
total_rEGFR	1	180	15.63601554				
total_rEGFR	2	0	67.15438761				
total_rEGFR	2	5	87.74872358				
total_rEGFR	2	20	100				
total_rEGFR	2	180	41.67190185				
total_rEGFR	3	0	55.26305226				
total_rEGFR	3	5	74.42696918				
total_rEGFR	3	20	100				
total_rEGFR	3	180	44.23195806				
