experimental_state	replicate_number	time_point	value				
total_bound_Grb2	1	0	100				
total_bound_Grb2	1	5	6.7170345				
total_bound_Grb2	1	20	5.7039369				
total_bound_Grb2	1	180	15.2814561				
total_bound_Grb2	2	0	100				
total_bound_Grb2	2	5	4.995297447				
total_bound_Grb2	2	20	8.63104467				
total_bound_Grb2	2	180	7.231174242				
total_bound_Grb2	3	0	100				
total_bound_Grb2	3	5	5.1107468				
total_bound_Grb2	3	20	8.73211576				
total_bound_Grb2	3	180	5.845751483				
total_bound_ASAP1	1	0	100				
total_bound_ASAP1	1	5	15.05031245				
total_bound_ASAP1	1	20	8.295807994				
total_bound_ASAP1	1	180	8.770484193				
total_bound_ASAP1	2	0	100				
total_bound_ASAP1	2	5	9.329337219				
total_bound_ASAP1	2	20	9.329337219				
total_bound_ASAP1	2	180	32.02422558				
total_bound_ASAP1	3	0	100				
total_bound_ASAP1	3	5	5.666895544				
total_bound_ASAP1	3	20	6.500086178				
total_bound_ASAP1	3	180	11.58323233			
